,Price,Local,Surface,Bathroom,Floor
2,€ 225.000,2 ,50,1 ,1
3,€ 400.000,3 ,60,1 ,3
4,€ 500.000,3 ,89,2 ,3
5,€ 574.000,4 ,89,2 ,5
6,€ 300.000,2 ,46,1 ,4
7,€ 425.000,3 ,72,2 ,4
8,€ 669.000,5 ,86,2 ,4
9,€ 657.000,5 ,87,2 ,5
10,€ 257.000,3 ,61,1 ,1
11,€ 325.000,2 ,60,1 ,3
12,€ 569.000,3 ,74,2 ,5
13,€ 175.000,2 ,52,1 ,1
14,€ 217.000,2 ,54,1 ,5
15,€ 155.000,3 ,80,1 ,1
17,€ 119.000,2 ,65,1 ,1
18,€ 315.000,3 ,92,2 ,5
19,€ 260.000,3 ,78,2 ,1
20,€ 520.000,3 ,105,2 ,1
21,€ 695.000,5+ ,250,3 ,3
22,€ 730.000,5 ,150,2 ,4
23,€ 800.000,5+ ,220,3 ,4
25,€ 1.260.000,5+ ,225,2 ,4
26,€ 1.150.000,5 ,160,2 ,4
27,€ 1.090.000,5+ ,190,2 ,2
28,€ 720.000,5+ ,145,1 ,1
29,€ 1.080.000,5+ ,250,3+ ,3
30,€ 745.000,5+ ,230,3 ,4
31,€ 459.000,2 ,85,1 ,Ultimo
32,€ 339.000,3 ,90,1 ,4
34,€ 950.000,5 ,170,1 ,3
35,€ 1.680.000,5+ ,210,2 ,5
36,€ 189.000,4 ,168,3+ ,Piano terra
37,€ 2.150.000,4 ,150,1 ,4
38,€ 730.000,3 ,160,2 ,Seminterrato
39,€ 850.000,5+ ,204,2 ,3
40,€ 680.000,3 ,90,1 ,3
41,€ 680.000,2 ,70,1 ,4
42,€ 199.000,4 ,125,2 ,1
43,€ 1.600.000,5+ ,250,3+ ,3
44,€ 1.700.000,5+ ,460,3+ ,Piano terra
45,€ 539.000,4 ,140,2 ,3
46,€ 275.000,3 ,72,1 ,2
47,€ 670.000,5+ ,227,3 ,3
48,€ 699.000,5+ ,174,3 ,Ultimo
49,€ 690.000,5 ,140,2 ,2
50,€ 269.000,3 ,87,2 ,2
51,€ 320.000,3 ,76,1 ,3
52,€ 1.650.000,5+ ,220,3 ,4
53,€ 1.070.000,5+ ,230,3+ ,1
54,€ 1.050.000,5 ,145,2 ,1
55,€ 1.100.000,5+ ,154,1 ,3
56,€ 895.000,5+ ,200,3 ,3
57,€ 800.000,3 ,125,2 ,5
58,€ 1.650.000,5+ ,340,3 ,4
59,€ 189.000,4 ,110,2 ,Ultimo
60,€ 1.599.000,5+ ,270,3+ ,Piano rialzato
63,€ 1.250.000,5+ ,140,2 ,2
64,€ 850.000,5 ,175,2 ,Ultimo
65,€ 579.000,5 ,160,2 ,2
66,€ 1.350.000,4 ,200,2 ,2
68,€ 250.000,4 ,110,2 ,Ultimo
69,€ 255.000,4 ,130,2 ,1
70,€ 269.000,3 ,87,2 ,3
71,€ 169.000,2 ,58,1 ,Piano terra
72,€ 3.200.000,5+ ,212,2 ,2
73,€ 620.000,2 ,65,1 ,3
74,€ 375.000,3 ,92,1 ,1
76,€ 1.350.000,4 ,137,2 ,4
77,€ 1.560.000,5 ,191,3 ,1
78,€ 419.000,3 ,100,2 ,2
79,€ 450.000,5 ,150,2 ,3
80,€ 795.000,5 ,115,1 ,2
81,€ 119.000,2 ,55,1 ,Piano terra
82,€ 1.050.000,5+ ,235,3 ,3
83,€ 239.000,3 ,87,1 ,Seminterrato
84,€ 670.000,5+ ,180,2 ,1
85,€ 2.950.000,5+ ,250,3+ ,3
86,€ 940.000,5+ ,200,3 ,Ultimo
